greV,greQ,greA,cgpa,toeflScore,internExp,confPubs,journalPubs,researchExp,industryExp,university
130,161.7021277,3.5,7.83,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
164,170,3.5,7.73,113,0,0,0,0,0,Virginia Polytechnic Institute and State University
131.9148936,170.212766,4,8.99,110,0,0,0,0,0,Virginia Polytechnic Institute and State University
142.5531915,170.212766,4,8.68,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
159,170,3,7.4,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
150,167,3.5,7.7,110,0,0,0,0,0,Virginia Polytechnic Institute and State University
160,163,4.5,7.2,113,8,4,1,24,0,Virginia Polytechnic Institute and State University
142,164,3.5,8.69,95,0,0,0,0,0,Virginia Polytechnic Institute and State University
155,170,5,9.22,112,3,3,1,10,0,Virginia Polytechnic Institute and State University
157,163,3.5,7.714,116,0,0,0,0,0,Virginia Polytechnic Institute and State University
160,166,3.5,8.472,117,0,0,0,0,0,Virginia Polytechnic Institute and State University
158,166,4.5,8.03,113,0,0,0,0,0,Virginia Polytechnic Institute and State University
155,165,3.5,7.1,104,0,0,0,0,30,Virginia Polytechnic Institute and State University
130,163.8297872,3.5,6.8,105,0,0,0,0,0,Virginia Polytechnic Institute and State University
148.9361702,170.212766,4,7.5,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,3,8.43,105,0,0,0,0,0,Virginia Polytechnic Institute and State University
155,166,4,8.96,108,0,0,0,0,0,Virginia Polytechnic Institute and State University
136.1702128,170.212766,4,8.79,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
155.3191489,170.212766,4.5,9.7,116,0,0,0,0,0,Virginia Polytechnic Institute and State University
154,168,4,9.2,112,7,0,0,0,0,Virginia Polytechnic Institute and State University
162,165,3,7.11,109,0,0,0,0,0,Virginia Polytechnic Institute and State University
146,160,3,9.15,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
149,157,4,7.95,108,1,0,0,0,17,Virginia Polytechnic Institute and State University
151,161,4,9.35,107,3,0,0,1,0,Virginia Polytechnic Institute and State University
130,170.212766,3.5,9.4,97,0,0,0,0,0,Virginia Polytechnic Institute and State University
142.5531915,168.0851064,3,9.03,103,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,161.7021277,3,7.2,98,0,0,0,0,0,Virginia Polytechnic Institute and State University
159,168,3.5,7.4,107,0,0,0,0,0,Virginia Polytechnic Institute and State University
140.4255319,165.9574468,4,8.7,119,0,0,0,0,0,Virginia Polytechnic Institute and State University
170,159,3.5,9.56,117,0,0,0,0,0,Virginia Polytechnic Institute and State University
155,170,3.5,9.26,110,0,0,0,0,0,Virginia Polytechnic Institute and State University
138.2978723,170.212766,4,6.515,115,0,0,0,0,0,Virginia Polytechnic Institute and State University
156,167,4,8.78,107,0,0,0,0,24,Virginia Polytechnic Institute and State University
155,161,3.5,8.278,103,0,0,0,0,0,Virginia Polytechnic Institute and State University
162,165,5,7.57,114,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,3.5,7.7,105,0,0,0,0,0,Virginia Polytechnic Institute and State University
163,167,4,7.7,111,12,0,0,0,24,Virginia Polytechnic Institute and State University
158,170,3.5,8.3,113,4,2,0,0,30,Virginia Polytechnic Institute and State University
163,167,5.5,8.81,116,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,168.0851064,3.5,8.47,100,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,3.5,7.68,115,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,165.9574468,4.5,8.87,115,12,0,0,0,0,Virginia Polytechnic Institute and State University
155,168,3.5,8.88,105,3,0,0,0,36,Virginia Polytechnic Institute and State University
152,157,3.5,9.3,112,0,0,0,0,0,Virginia Polytechnic Institute and State University
146.8085106,170.212766,3.5,7.4,117,0,0,0,0,0,Virginia Polytechnic Institute and State University
130,170.212766,3.5,8.37,99,0,0,0,0,0,Virginia Polytechnic Institute and State University
157,168,3,8.95,109,0,0,0,0,0,Virginia Polytechnic Institute and State University
